Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-19,650,52.02,0.08,39.57,49.72,54.8,59.31,64.66,67.6,69.69,71.54,73.62,75.17,76.92,78.44,79.52,80.65,82.04,83.31,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45,85.45
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-20,661,53.39,0.08,39.25,46.96,51.59,56.14,58.59,60.07,61.67,62.97,64.16,64.98,66.15,66.75,67.65,69.16,70.58,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88,71.88
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-21,742,50.97,0.07,46.95,57.0,64.05,67.9,70.34,72.89,75.02,78.03,79.53,80.65,81.87,82.82,84.37,85.71,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88,86.88
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-22,654,49.18,0.08,42.97,54.15,60.17,64.52,68.21,72.09,76.06,77.76,79.04,81.1,82.31,84.12,85.89,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-23,667,44.66,0.07,51.52,61.0,66.15,69.23,72.49,74.78,76.54,78.06,80.27,82.72,85.25,87.48,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-24,719,48.35,0.07,59.63,74.69,82.54,87.84,91.07,93.22,95.67,98.46,101.11,104.06,107.29,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-25,720,51.43,0.07,53.64,64.78,73.77,78.34,80.19,81.9,83.75,85.76,88.47,91.29,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35,93.35
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-26,741,52.08,0.07,53.24,68.98,75.1,79.64,84.35,87.14,89.87,94.8,97.85,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-27,756,52.6,0.07,50.47,61.86,67.19,72.68,76.53,80.19,85.61,89.75,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-28,755,50.55,0.07,56.26,69.18,76.42,84.1,89.69,94.85,99.25,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.85
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-01,755,49.65,0.07,46.75,59.72,68.91,75.41,80.41,85.06,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-02,789,48.24,0.06,52.57,65.55,74.77,81.77,87.29,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39,92.39
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-03,713,47.22,0.07,59.46,77.84,91.7,102.21,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72,110.72
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-04,733,49.65,0.07,43.83,61.96,73.12,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36,81.36
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-05,801,51.93,0.06,41.85,54.08,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49,62.49
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-06,745,52.7,0.07,40.21,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-07,717,46.01,0.06,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8
