Media Source,Campaign,Campaign Id,Cohort Day,Users,retention,Cost,Average eCPI,sessions - Unique users - day 1,sessions - Unique users - day 2,sessions - Unique users - day 3,sessions - Unique users - day 4,sessions - Unique users - day 5,sessions - Unique users - day 6,sessions - Unique users - day 7,sessions - Unique users - day 8,sessions - Unique users - day 9,sessions - Unique users - day 10,sessions - Unique users - day 11,sessions - Unique users - day 12,sessions - Unique users - day 13,sessions - Unique users - day 14,sessions - Unique users - day 15,sessions - Unique users - day 16,sessions - Unique users - day 17,sessions - Unique users - day 18,sessions - Unique users - day 19,sessions - Unique users - day 20,sessions - Unique users - day 21 - partial,sessions - Unique users - day 22 - partial,sessions - Unique users - day 23 - partial,sessions - Unique users - day 24 - partial,sessions - Unique users - day 25 - partial,sessions - Unique users - day 26 - partial,sessions - Unique users - day 27 - partial,sessions - Unique users - day 28 - partial,retention2
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-14,461,3947.9999999999995,34.44,0.07,182,122,97,71,74,66,60,53,51,55,51,49,47,48,39,43,42,43,43,45,43,36,0,0,0,0,0,0,182(39.48%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-15,475,3874.0,38.09,0.08,184,117,95,79,75,68,70,61,57,53,52,58,58,52,46,45,46,39,42,45,38,0,0,0,0,0,0,0,184(38.74%)
Facebook Ads,$facebook_int$AND$PT$MAItangjie0131,2.3853613357020404e+16,2023-02-08,1,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0(0.0%)
Facebook Ads,$facebook_int$AND$PT$MAItangjie0131,2.3853613357020404e+16,2023-02-09,1,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0(0.0%)
Facebook Ads,$facebook_int$AND$US$MAItangjie0110,2.3853396928460404e+16,2023-02-08,2,10000.0,0.0,0.0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2(100.0%)
Facebook Ads,$facebook_int$AND$US$MAItangjie0110,2.3853396928460404e+16,2023-02-14,1,0.0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0(0.0%)
Facebook Ads,$facebook_int$AND$US$MAItangjie0113手动出价,2.3853429237580404e+16,2023-02-08,4,10000.0,0.0,0.0,4,3,3,3,3,2,2,2,3,2,3,2,3,2,3,3,2,2,3,2,2,2,3,2,2,3,2,3,4(100.0%)
Facebook Ads,$facebook_int$AND$US$MAItangjie0113手动出价,2.3853429237580404e+16,2023-02-09,2,10000.0,,,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2(100.0%)
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-10,414,4372.0,35.97,0.09,181,113,82,74,57,53,48,42,36,36,35,31,31,30,29,28,24,25,24,23,26,23,23,27,24,20,0,0,181(43.72%)
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-11,1245,3574.0,85.06,0.07,445,287,231,206,166,150,141,123,121,117,111,98,97,103,100,92,87,94,91,87,84,88,87,87,72,0,0,0,445(35.74%)
