Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-11,1234,106.17,0.09,40.83,48.52,53.22,56.77,59.25,60.57,61.69,62.45,63.0,63.5,63.97,64.32,64.96,65.71,66.23,66.76,67.31,67.85,68.4,68.88,69.23,69.67,70.35,71.04,71.74,71.74,71.74,71.74,71.74
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-12,1108,101.49,0.09,37.68,46.32,51.22,53.9,56.53,58.66,60.75,61.39,62.15,62.88,63.58,64.42,65.31,66.11,66.77,67.32,67.9,68.44,68.87,69.45,69.78,70.69,71.35,72.33,72.33,72.33,72.33,72.33,72.33
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-13,1268,101.47,0.08,38.37,47.34,51.02,53.85,56.32,59.2,60.17,60.85,61.48,62.12,62.89,63.78,64.41,65.14,65.86,66.31,66.9,67.41,67.77,68.2,69.16,70.09,71.25,71.25,71.25,71.25,71.25,71.25,71.25
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-14,1090,101.66,0.09,42.59,50.84,54.88,57.6,60.59,62.15,63.47,64.44,65.01,65.97,66.84,67.72,68.99,69.69,70.47,71.25,71.88,72.55,73.5,74.38,75.11,76.07,76.07,76.07,76.07,76.07,76.07,76.07,76.07
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-15,1182,97.94,0.08,45.14,54.77,60.87,64.91,68.12,70.44,72.74,74.8,76.29,78.23,80.77,82.3,83.81,85.23,86.32,87.01,87.99,89.08,90.37,91.64,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09,93.09
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-16,1047,87.67,0.08,39.38,53.21,60.06,62.88,64.92,66.84,68.61,69.89,70.93,71.9,72.9,73.84,74.73,75.48,76.12,76.66,77.61,78.6,79.69,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82,80.82
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-17,1411,102.87,0.07,59.17,72.37,77.95,81.5,84.1,85.93,87.71,89.72,91.31,92.61,93.8,94.96,96.09,96.95,97.86,98.64,100.19,102.12,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-18,1493,106.9,0.07,56.78,66.13,72.61,77.91,81.93,85.6,88.35,90.57,92.06,93.87,95.09,96.16,97.31,98.35,99.24,100.91,102.21,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-19,1489,102.47,0.07,46.47,56.97,62.19,66.21,71.19,75.95,79.2,81.29,83.4,85.34,87.66,88.88,90.05,91.14,93.01,95.12,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-20,1467,103.49,0.07,46.74,60.5,66.89,73.21,78.21,82.59,85.55,87.82,89.88,92.07,93.65,95.23,96.88,98.68,100.47,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17
