Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,new_column,roas - Rate - day 0,roas - Rate - day 1,roas - Rate - day 2,roas - Rate - day 3,roas - Rate - day 4,roas - Rate - day 5,roas - Rate - day 6,roas - Rate - day 7,roas - Rate - day 8,roas - Rate - day 9,roas - Rate - day 10,roas - Rate - day 11,roas - Rate - day 12,roas - Rate - day 13,roas - Rate - day 14,roas - Rate - day 15,roas - Rate - day 16,roas - Rate - day 17,roas - Rate - day 18,roas - Rate - day 19,roas - Rate - day 20,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-10,414,35.97,0.09,113,41.33,53.11,58.87,62.91,66.09,67.88,69.33,70.7,71.75,72.97,73.96,74.96,76.14,77.23,78.11,78.92,79.74,80.83,81.39,81.92,82.23,82.69,83.11,83.61,83.95,83.95,83.95,83.95,83.95
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210_ON,2.385364476187077e+16,2023-02-12,410,50.45,0.12,51,26.45,29.79,31.42,32.85,33.74,35.09,35.71,36.02,36.28,36.46,36.93,37.6,37.78,38.22,38.73,39.15,39.43,39.72,39.92,40.15,40.51,40.99,41.33,41.33,41.33,41.33,41.33,41.33,41.33
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-10,399,37.67,0.09,57,45.49,54.68,58.21,61.32,64.72,66.48,67.18,68.09,68.59,68.74,68.87,68.99,69.0,69.09,69.24,69.61,70.05,71.03,71.76,71.82,71.94,72.08,72.15,72.34,72.48,72.48,72.48,72.48,72.48
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210_ON,2.385364476187077e+16,2023-02-14,399,49.75,0.12,49,33.21,37.69,41.16,44.24,45.8,46.44,46.75,47.2,47.53,48.53,49.04,49.86,50.65,51.01,51.89,52.35,52.63,53.12,53.59,54.32,54.63,54.63,54.63,54.63,54.63,54.63,54.63,54.63,54.63
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-08,396,45.45,0.11,96,33.07,39.51,42.49,44.69,46.46,47.87,48.79,49.85,50.68,51.13,51.72,52.5,52.77,53.12,53.83,54.44,55.18,55.78,56.3,56.86,57.45,57.88,58.52,59.04,59.36,60.27,60.91,60.91,60.91
Facebook Ads,youdaozhixuan_liveme_FB_MessCleaner_BR_02_aaa_page002_ys_0210-2_ON,2.385286313431023e+16,2023-02-13,385,53.15,0.14,64,28.38,36.83,40.42,42.81,45.42,46.98,47.39,48.27,48.5,48.62,48.92,49.3,49.53,49.87,50.31,50.6,50.87,51.32,51.51,51.95,52.21,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-10,383,55.13,0.14,62,25.38,31.72,34.76,38.17,41.07,42.15,42.59,42.92,43.09,43.24,43.48,43.56,43.71,43.9,44.09,44.26,44.38,44.48,44.85,44.91,45.11,45.17,45.24,45.47,45.81,45.81,45.81,45.81,45.81
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210_ON,2.385364476187077e+16,2023-02-15,373,49.95,0.13,55,30.4,35.12,38.42,41.04,42.12,43.58,44.38,44.96,45.86,47.2,48.17,48.96,49.68,50.65,51.4,51.78,52.38,52.87,53.48,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-12,367,30.84,0.08,97,37.01,45.73,50.71,54.27,56.61,58.71,60.01,61.72,62.83,63.42,64.35,65.92,67.04,68.09,69.34,70.27,71.34,72.0,73.08,74.14,75.24,76.1,76.67,76.67,76.67,76.67,76.67,76.67,76.67
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-11,352,28.42,0.08,86,39.63,48.92,55.47,58.52,61.1,63.26,64.81,66.16,67.52,68.82,69.39,70.96,72.24,73.44,74.83,76.32,77.35,78.27,79.12,80.0,80.9,81.54,82.72,83.18,83.18,83.18,83.18,83.18,83.18
